Job_ID,Job_Title,Min_YOE,Est_Salary,JD_Trans,L1,L2,L3,L4,MinL,Location,VN,Remote,W_Term,W_Term_2,W_Term_3,W_Term_4,Data_Engineer,Data_Analyst,Data_Scientist,Business_Analyst,Business_Intelligence,Combined_role,Others,Last_Updated
5603,Senior Machine Learning,3,3390,"Lang Ha Earable recruits Senior ML from 3 ++ years of experience, prioritizing experience in NLP, recommending System. Salary 40-80m.",2.0,Unknown,,,2,HANOI,1,0,Fulltime,Unknown,Unknown,Unknown,1,0,1,0,0,1,0,9/10/2025
5602,Data Engineer,1,1270,HN-LLLL; Product Company recruits #data #engineer from 1 year of experience. Offer max 30m.,1.0,2,,,1,HANOI,1,0,Fulltime,Unknown,Unknown,Unknown,1,0,0,0,0,0,0,9/10/2025
5601,Ai Research Engineer,3,2755,Cau Giay - HN - AI Research Engineer - 3-7year of experience- ~ 65m Gross,2.0,Unknown,,,2,HANOI,1,0,Fulltime,Unknown,Unknown,Unknown,1,0,1,0,0,1,0,9/10/2025
5600,Data Analyst,3,1270,Over 3 years of experience in data analysis.,2.0,Unknown,,,2,HANOI,1,0,Fulltime,Unknown,Unknown,Unknown,0,1,0,0,0,0,0,9/10/2025
5599,Data Engineer,2,1800,From 2 years of experience that has been working in the Data Engineer position or related experience,1.0,Unknown,,,1,HANOI,1,0,Fulltime,Unknown,Unknown,Unknown,1,0,0,0,0,0,0,9/10/2025
5597,Data Engineer,1,1270,"Strong experience with Python and SQL for data manipulation, transformation, and analysis.",1.0,2,,,1,HANOI,1,0,Fulltime,Unknown,Unknown,Unknown,1,0,0,0,0,0,0,9/10/2025
5596,Data Engineer,2,1060,"Minimum 2 years of experience at banks or IT organizations, corporations",1.0,2,,,1,HANOI,1,0,Fulltime,Unknown,Unknown,Unknown,1,0,0,0,0,0,0,9/10/2025
5595,Data Infrastructure Engineer - Python / Java,3,3000,"Strong programming skills either Python or Java, with a demonstrated ability to write high-quality and testable code.",1.0,2,,,1,HCMC,1,0,Fulltime,Unknown,Unknown,Unknown,1,0,0,0,0,0,0,9/10/2025
5594,Senior Business Intelligence,2,2200,"At least 2 years of experience in making MIS, data analysis and financial indicators, business reports of financial and banking companies; Know how to use SQL Server, Oracle Database, ETL, Power Bi",2.0,Unknown,,,2,HANOI,1,0,Fulltime,Unknown,Unknown,Unknown,0,0,0,0,1,0,0,9/10/2025
5592,Data Engineer,2,1185,Experienced working in Data Engineer segment for 2 years or more.,1.0,2,,,1,HANOI,1,0,Fulltime,Unknown,Unknown,Unknown,1,0,0,0,0,0,0,9/10/2025
5591,Junior Data Engineer,3,2500,Have 3+ years of experience as a Data Engineer or Software Engineer,1.0,Unknown,,,1,HANOI,1,0,Fulltime,Unknown,Unknown,Unknown,1,0,0,0,0,0,0,9/10/2025
5589,Data Governance Expert,8,3500,"At least 8-10 years of experience working in the field of data management, especially bank data or positions related to organization, exploitation and collection of data",2.0,Unknown,,,2,HANOI,1,0,Fulltime,Unknown,Unknown,Unknown,1,0,0,0,0,0,0,9/10/2025
